Station,Lat,Lon,AQI,PM2.5,PM10,CO,NO2,SO2,O3,Temperature
"Gurdeo Nagar, Aurangabad, India",24.75746,84.366208,73.0,73.0,46.0,48.68558619966443,5.268762583892617,8.647031249999998,8.637583892617451,25
"Doon University, Dehradun, India",30.269444,78.044167,10.0,2.0,8.0,2.863858011744967,0.7526803691275169,0.7860937499999998,19.82718120805369,25
"Perungudi, Chennai, Chennai, India",12.9533,80.2357,91.0,75.0,91.0,6.1859333053691286,6.9622934144295305,4.7165625,10.208053691275168,25
"Panchal Nagar, Gadag, India",15.411456,75.638133,30.0,30.0,9.0,22.33809249161074,11.290205536912753,14.673749999999997,9.619127516778525,25
"Zoo Park, Bahadurpura West, Hyderabad, India",17.349694,78.451437,133.0,133.0,67.0,18.67235423657718,3.3870616610738256,4.7165625,20.219798657718123,25
"Mirchaibari, Katihar, India",25.560083,87.553265,92.0,7.0,92.0,1.6037604865771813,9.59667470637584,17.294062499999995,5.496644295302013,25
"Indira Colony Vistar, Pali, India",25.771061,73.340227,112.0,112.0,65.0,3.8948468959731546,20.69871015100671,10.743281249999999,33.372483221476514,25
"Naharlagun, Naharlagun, India",27.103358,93.679645,51.0,51.0,25.0,2.4056407298657723,3.198891568791946,7.07484375,3.1409395973154366,25
"Kumaran College, Tirupur, India",11.0973603,77.3228673,46.0,12.0,46.0,2.5201950503355706,2.0698710151006714,3.668437499999999,2.159395973154363,25
"GM Office, Brajrajnagar, India",21.8004996,83.8396977,69.0,69.0,45.0,16.15215918624161,148.84254299496644,15.459843750000001,8.244966442953022,25
"Stuart Hill, Madikeri, India",12.415911,75.73505,54.0,54.0,16.0,1.6037604865771813,1.6935308305369128,7.336874999999998,4.122483221476511,25
"Yamunapuram, Bulandshahr, India",28.406963,77.849831,42.0,42.0,17.0,4.8112814597315445,12.607396182885907,6.8128125,33.17617449664429,25
"Ibrahimpur, Vijayapura, India",16.802639,75.722694,72.0,72.0,43.0,5.269498741610739,6.209613045302014,8.12296875,13.15268456375839,25
"Mayaganj, Bhagalpur, India",25.265194,87.012947,78.0,78.0,41.0,6.873259228187919,6.209613045302014,59.2190625,6.281879194630873,25
"Civil Lines, Bareilly, India",28.359581,79.414455,36.0,1.0,3.0,0.343662961409396,1.6935308305369128,93.02109374999999,17.471476510067117,25
"Nagla Bhau, Firozabad, India",27.168897,78.37696,22.0,22.0,16.0,5.040390100671141,11.66654572147651,28.037343749999994,14.134228187919463,25
"Chalai Bazaar, Ramanathapuram, India",9.36399,78.831977,177.0,177.0,148.0,6.071378984899329,11.478375629194629,16.770000000000003,3.337248322147651,25
"Lal Bahadur Shastri Nagar, Kalaburagi, India",17.321993,76.822628,65.0,65.0,35.0,4.238509857382551,8.655824244966443,14.673749999999997,46.13255033557047,25
"Ward-32 Bapupara, Siliguri, India",26.6883049,88.412668,69.0,69.0,34.0,6.1859333053691286,16.18262793624161,10.743281249999999,17.66778523489933,25
"B R Ambedkar University, Lucknow, India",26.766433,80.927299,108.0,108.0,37.0,2.863858011744967,8.091313968120804,64.4596875,24.538590604026847,25
"Sector-25, Chandigarh, India",30.751462,76.762879,81.0,81.0,12.0,2.749303691275168,7.7149737835570456,1.0481250000000002,92.85402684563758,25
"HIMUDA Complex Phase-1, Baddi, India",30.943887,76.801991,32.0,32.0,24.0,9.164345637583894,13.171906459731543,24.368906250000002,33.17617449664429,25
"Omex Eternity, Vrindavan, India",27.571409,77.655757,10.0,10.0,4.0,4.009401216442954,8.467654152684563,26.7271875,11.974832214765101,25
"Sikulpuikawn, Aizawl, India",23.7176342,92.7192841,16.0,13.0,16.0,0.687325922818792,0.18817009228187923,7.07484375,1.3741610738255032,25
"Corporation Ground, Thrissur, India",10.5324,76.2159,82.0,82.0,46.0,7.331476510067114,9.408504614093959,1.0481250000000002,24.14597315436242,25
"Vijay Nagar, Ramanagara, India",12.733409,77.298051,38.0,38.0,24.0,5.384053062080539,9.59667470637584,23.844843749999995,20.023489932885905,25
"Industrial Area, Hajipur, India",25.697189,85.2459,107.0,107.0,53.0,2.749303691275168,5.080592491610738,6.550781249999999,74.79362416107384,25
"IESD Banaras Hindu University, Varanasi, India",25.262326,82.995408,47.0,47.0,36.0,1.030988884228188,1.881700922818792,32.75390625,6.085570469798658,25
"Railway Colony, Guwahati, India",26.181742,91.78063,59.0,59.0,36.0,5.842270343959731,2.2580411073825504,25.41703125,51.04026845637584,25
"Jadavpur, Kolkata, India",22.49929,88.36917,112.0,112.0,57.0,3.7802925755033563,11.102035444630873,132.58781249999998,19.04194630872483,25
"Kurla, Mumbai, India",19.0863,72.8888,125.0,125.0,72.0,1.374651845637584,3.0107214765100676,38.780625,22.77181208053691,25
"Knowledge Park - V, Greater Noida, India",28.557054,77.453663,106.0,106.0,81.0,8.477019714765103,38.57486891778523,20.70046875,20.023489932885905,25
"Shaheed Sukhdev College of Business Studies, Rohini, Delhi, Delhi, India",28.732743,77.118788,135.0,135.0,82.0,16.61037646812081,37.634018456375834,4.192500000000001,59.285234899328856,25
"Bardowali, Agartala, India",23.8175497,91.2726974,69.0,69.0,5.0,0.22910864093959732,3.198891568791946,27.7753125,16.88255033557047,25
"Mendonsa Colony, Dindigul, India",10.358535,77.984321,119.0,119.0,75.0,2.5201950503355706,0.18817009228187923,23.058750000000003,1.5704697986577183,25
"Jhunsi, Prayagraj, India",25.425602,81.917152,48.0,48.0,33.0,3.4366296140939596,3.951571937919463,33.80203125,7.4597315436241605,25
"NSI Kalyanpur, Kanpur, India",26.509954,80.249612,66.0,66.0,28.0,5.727716023489934,11.290205536912753,50.047968749999995,15.115771812080538,25
"Sector-D Industrial Area, Mandideep, India",23.10844,77.511428,57.0,57.0,42.0,7.216922189597315,10.537525167785233,12.315468749999999,29.446308724832214,25
"Kukrail Picnic Spot-1, Lucknow, India",26.90723,80.98579,43.0,43.0,14.0,8.247911073825504,15.806287751677852,20.9625,67.33389261744966,25
"Rohta, Agra, India",27.106972,78.000111,222.0,62.0,25.0,1.7183148070469798,3.3870616610738256,6.8128125,436.59060402684565,25
"Sanjay Nagar, Ghaziabad, India",28.685382,77.453839,89.0,89.0,43.0,8.018802432885908,26.343812919463087,10.48125,18.256711409395976,25
"Golden Temple, Amritsar, India",31.62,74.876512,52.0,52.0,19.0,30.356894924496647,11.290205536912753,39.04265625,27.09060402684564,25
"Girls College, Sivasagar, India",26.987634,94.636574,56.0,56.0,26.0,2.6347493708053693,8.843994337248322,10.219218749999998,3.1409395973154366,25
"Shivaji Nagar, Jhansi, India",25.4547,78.6039,102.0,102.0,48.0,0.687325922818792,4.139742030201343,40.61484374999999,16.097315436241608,25
"Collectorate, Jodhpur, India",26.268249,73.0193853,71.0,71.0,38.0,12.600975251677852,16.18262793624161,6.026718749999999,13.937919463087248,25
"Gangapur Road, Nashik, India",20.0073285,73.7762427,50.0,50.0,41.0,2.749303691275168,8.091313968120804,3.40640625,25.716442953020135,25
"Samanpura, Patna, India",25.596727,85.085624,81.0,81.0,51.0,2.2910864093959735,30.67172504194631,3.668437499999999,39.458053691275175,25
"Marhatal, Jabalpur, India",23.168606,79.932247,51.0,51.0,46.0,9.049791317114096,32.5534259647651,9.433125,7.656040268456376,25
"Phase-4 GIDC, Vatva, India",22.969611,72.6435,85.0,85.0,51.0,5.15494442114094,2.44621119966443,36.946406249999995,7.2634228187919465,25
"Anand Kala Kshetram, Rajamahendravaram, India",16.9872867,81.7363176,58.0,58.0,40.0,1.2600975251677853,6.397783137583892,7.07484375,5.300335570469799,25
"B.Katihalli, Hassan, India",13.008556,76.125258,58.0,50.0,58.0,0.22910864093959732,9.408504614093959,1.31015625,0.9815436241610739,25
"Bidhannagar, Kolkata, India",22.58157048,88.41002457,41.0,41.0,39.0,4.925835780201342,7.338633598993289,7.598906249999999,24.73489932885906,25
"Bramprakash Ayurvedic Hospital, Najafgarh, Delhi, Delhi, India",28.572714,76.933433,171.0,171.0,62.0,5.498607382550336,17.876158766778524,39.56671874999999,28.661073825503355,25
"GVM Corporation, Visakhapatnam, India",17.72,83.3,76.0,76.0,63.0,6.300487625838926,64.73051174496644,45.59343749999999,7.2634228187919465,25
"Somajiguda, Hyderabad, India",17.417094,78.457437,128.0,128.0,71.0,7.904248112416109,8.091313968120804,35.89828125,24.73489932885906,25
"New DM Office, Arrah, India",25.5626095,84.663264,35.0,30.0,35.0,4.35306417785235,3.0107214765100676,4.7165625,5.8892617449664435,25
"Employment Office, Moradabad, India",28.88528,78.7388,28.0,44.0,11.0,8.247911073825504,9.59667470637584,30.395624999999995,53.984899328859065,25
"Civil Line, Jalandhar, India",31.321907,75.578914,78.0,78.0,51.0,7.331476510067114,17.311648489932885,16.2459375,35.72818791946309,25
"SIPCOT Phase-1, Hosur, India",12.746998,77.813811,121.0,121.0,65.0,4.35306417785235,1.1290205536912752,45.85546875,8.441275167785236,25
"Ashwini Nagar, Haveri, India",14.7918,75.3896,71.0,71.0,36.0,4.925835780201342,1.881700922818792,40.09078125,13.348993288590604,25
"Gyaspur, Ahmedabad, India",22.977134,72.553024,124.0,124.0,51.0,8.247911073825504,16.18262793624161,8.12296875,13.741610738255034,25
"Sector-10, Gandhinagar, India",23.221714,72.654328,84.0,84.0,68.0,6.415041946308725,5.268762583892617,11.0053125,5.692953020134228,25
"Jai Bhim Nagar, Meerut, India",28.9535882,77.7622941,57.0,57.0,6.0,8.5915740352349,8.843994337248322,4.7165625,62.03355704697987,25
"Rajendra Nagar, Bareilly, India",28.38910936,79.42963708,18.0,15.0,7.0,5.842270343959731,8.467654152684563,46.11750000000001,6.085570469798658,25
"Kalindi Kunj, Khurja, India",28.2348927,77.8683002,42.0,42.0,35.0,1.030988884228188,2.2580411073825504,15.459843750000001,11.385906040268456,25
"Anand Vihar, Hapur, India",28.725645,77.749675,58.0,58.0,19.0,10.30988884228188,40.08022965604027,22.272656249999997,34.550335570469805,25
"SIDCO Kurichi, Coimbatore, India",10.942451,76.978996,98.0,98.0,48.0,3.665738255033557,5.080592491610738,22.534687499999997,2.7483221476510065,25
"Urban, Chamarajanagar, India",11.55358,76.55521,85.0,85.0,52.0,5.15494442114094,24.838452181208055,8.12296875,29.642617449664428,25
"DM Office_Kasipur, Samastipur, India",25.859655,85.77944,112.0,112.0,63.0,0.22910864093959732,0.7526803691275169,3.40640625,6.674496644295302,25
"Darshan Nagar, Chhapra, India",25.7808257,84.7446768,50.0,50.0,23.0,2.061977768456376,68.49391359060402,9.9571875,23.164429530201346,25
"Udyogamandal, Eloor, India",10.073232,76.302765,99.0,99.0,46.0,18.44324559563759,6.9622934144295305,2.35828125,9.815436241610739,25
"Gulzarpet, Anantapur, India",14.675886,77.593027,95.0,95.0,50.0,11.799095008389264,15.99445784395973,14.93578125,8.441275167785236,25
"Belur Math, Howrah, India",22.629801,88.352017,97.0,97.0,29.0,6.300487625838926,22.580411073825505,8.9090625,3.337248322147651,25
"Chitragupta Nagar, Siwan, India",26.2271665,84.3570427,15.0,13.0,6.0,16.724930788590605,0.940850461409396,4.192500000000001,5.496644295302013,25
"Shahjahan Garden, Agra, India",27.169338,78.03582,59.0,59.0,32.0,2.4056407298657723,19.19334941275168,17.294062499999995,10.011744966442953,25
"Civil Lines, Ajmer, India",26.470859,74.646594,64.0,58.0,64.0,10.538997483221477,12.607396182885907,3.9304687499999997,16.489932885906043,25
"Shrinath Puram, Kota, India",25.14389,75.821256,51.0,51.0,21.0,14.662953020134228,5.833272860738255,7.598906249999999,20.416107382550337,25
"Ashok Nagar, Udaipur, India",24.5886166,73.6321397,46.0,46.0,42.0,14.319290058724832,29.354534395973158,7.598906249999999,12.171140939597317,25
"T T Nagar, Bhopal, India",23.233584,77.400574,46.0,46.0,30.0,4.35306417785235,26.531983011744966,11.0053125,35.9244966442953,25
"Gandak Colony, Motihari, India",26.63086,84.90051,61.0,61.0,40.0,6.644150587248323,5.080592491610738,2.6203125,0.5889261744966443,25
"Moti Doongri, Alwar, India",27.554793,76.611536,67.0,67.0,31.0,10.538997483221477,11.102035444630873,30.657656249999995,30.035234899328863,25
"Sardar Patel Inter College, Baghpat, India",28.964949,77.278761,55.0,55.0,41.0,3.665738255033557,24.462111996644296,13.625625,6.281879194630873,25
"Kalal Majra, Khanna, India",30.736056,76.209694,84.0,84.0,42.0,2.863858011744967,17.123478397651006,5.764687500000001,31.99832214765101,25
"Kashiram Nagar, Moradabad, India",28.849399,78.742362,92.0,92.0,9.0,4.35306417785235,16.55896812080537,48.737812500000004,25.716442953020135,25
"City Center, Gwalior, India",26.203442,78.193251,73.0,73.0,43.0,0.5727716023489934,5.080592491610738,3.40640625,46.72147651006712,25
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",28.700505,77.165603,163.0,163.0,129.0,13.975627097315437,54.19298657718121,15.197812499999998,59.677852348993284,25
"Kariavattom, Thiruvananthapuram, India",8.5637,76.8865,77.0,77.0,53.0,5.727716023489934,4.704252307046979,6.026718749999999,29.25,25
"Kodungaiyur, Chennai, Chennai, India",13.1278,80.2642,69.0,69.0,47.0,4.8112814597315445,8.843994337248322,2.8823437500000004,25.91275167785235,25
"Dangi Tola, Rajgir, India",25.0328,85.41948,72.0,72.0,47.0,6.415041946308725,6.021442953020135,1.5721874999999996,29.053691275167786,25
"Gole Bazar, Katni, India",23.50016,80.23284,48.0,48.0,43.0,6.300487625838926,15.806287751677852,15.459843750000001,20.808724832214764,25
"Silk Board, Bengaluru, India",12.917348,77.622813,132.0,74.0,132.0,5.613161703020135,1.881700922818792,11.0053125,14.526845637583893,25
"Zero Point GICI, Gangtok, India",27.33853,88.614099,33.0,33.0,14.0,0.22910864093959732,0.37634018456375845,0.7860937499999998,18.256711409395976,25
"Kamalnath Nagar, Bettiah, India",26.80365,84.51954,23.0,3.0,23.0,7.216922189597315,5.645102768456376,22.272656249999997,19.434563758389263,25
"Polayathode, Kollam, India",8.8787,76.6073,52.0,52.0,45.0,3.2075209731543626,6.209613045302014,1.31015625,27.875838926174495,25
"Secretariat, Amaravati, India",16.5150833,80.5181667,57.0,57.0,37.0,3.665738255033557,28.413683934563757,9.171093749999999,14.526845637583893,25
"Ramteerth Nagar, Belgaum, India",15.888653,74.541751,35.0,35.0,17.0,3.2075209731543626,26.155642827181207,23.844843749999995,14.919463087248321,25
"RIICO Ind. Area III, Bhiwadi, India",28.194909,76.862296,102.0,102.0,67.0,17.06859375,15.429947567114091,4.97859375,27.286912751677853,25
"Model Town, Patiala, India",30.349388,76.366642,53.0,53.0,36.0,10.080780201342282,16.18262793624161,18.080156249999998,26.109060402684566,25
"IITH Kandi, Hyderabad, India",17.585705,78.126199,170.0,170.0,67.0,6.529596266778524,7.150463506711409,7.336874999999998,20.219798657718123,25
"Rabindra Bharati University, Kolkata, India",22.627847,88.380669,75.0,75.0,38.0,5.269498741610739,33.494276426174494,6.550781249999999,80.09395973154362,25
"Forest Rest House, Manguraha, India",25.357288,84.107844,6.0,75.0,2.0,1.9474234479865773,1.5053607382550338,7.07484375,11.189597315436242,25
"Sector-2 Industrial Area, Pithampur, India",22.624758,75.675238,95.0,95.0,65.0,3.7802925755033563,14.112756921140939,18.604218749999998,27.67953020134228,25
"Chikkaballapur Rural, Chikkaballapur, India",13.428828,77.731418,55.0,55.0,32.0,3.2075209731543626,9.408504614093959,14.93578125,18.256711409395976,25
"SDM Office_Khagra, Kishanganj, India",26.0881305,87.93840336,114.0,114.0,61.0,3.3220752936241613,6.585953229865772,8.9090625,12.36744966442953,25
"Motilal Nehru NIT, Prayagraj, India",25.494,81.863,37.0,37.0,14.0,1.7183148070469798,8.279484060402686,56.59875,0.3926174496644296,25
"Jawahar Nagar, Puducherry, India",11.9309,79.8027,51.0,51.0,37.0,3.551183934563759,7.903143875838926,8.385000000000002,38.672818791946305,25
"Kharahiya Basti, Araria, India",26.146529,87.454184,7.0,85.0,99.0,5.842270343959731,4.89242239932886,18.86625,8.244966442953022,25
"Town Hall, Munger, India",25.376776,86.471523,83.0,83.0,55.0,2.6347493708053693,2.822551384228188,9.69515625,4.122483221476511,25
"Adarsh Nagar, Jaipur, India",26.902909,75.836858,97.0,97.0,56.0,6.529596266778524,14.865437290268456,16.770000000000003,43.580536912751676,25
"Opp GPO Civil Lines, Nagpur, India",21.152875,79.0517531,53.0,53.0,36.0,8.133356753355706,8.279484060402686,6.550781249999999,4.7114093959731544,25
"Chhoti Gwaltoli, Indore, India",22.431,75.5213,87.0,87.0,69.0,10.30988884228188,26.90832319630872,20.17640625,21.790268456375838,25
"Khadakpada, Kalyan, India",19.25292,73.142019,91.0,91.0,52.0,1.4892061661073828,3.763401845637584,4.7165625,12.563758389261746,25
"Bandra Kurla Complex, Mumbai, India",19.053536,72.84643,128.0,128.0,84.0,8.935236996644296,4.704252307046979,3.9304687499999997,5.8892617449664435,25
"GIDC, Ankleshwar, India",21.613267,73.010555,71.0,71.0,40.0,5.384053062080539,32.929766149328856,69.43828124999999,39.458053691275175,25
"New Mandi, Muzaffarnagar, India",29.4723508,77.7194031,162.0,162.0,93.0,8.5915740352349,12.983736367449664,13.36359375,21.39765100671141,25
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",26.730136,83.433859,15.0,3.0,4.0,1.374651845637584,7.903143875838926,38.780625,14.723154362416107,25
"Sector-1, Noida, India",28.5898,77.3101,151.0,151.0,65.0,8.5915740352349,11.66654572147651,6.550781249999999,26.109060402684566,25
"Police Line, Saharsa, India",25.892357,86.590325,68.0,55.0,68.0,1.1455432046979868,4.516082214765101,15.721874999999999,19.82718120805369,25
